'Largest-ever' climate-change march rolls through NYC (climateark),,"USA Today: More than 300,000 people marched through the streets of New York
City on Sunday in what organizers called the largest climate-change
demonstration in history. With banners, flags, floats and drums, protesters at
the ""People's Climate March"" overwhelmed midtown Manhattan in flocks of vivid
color, demanding action ahead of the United Nations Climate Summit this week.
""I'm totally passionate about our planet and what's happening with our life
here,"" said Heather Snow, 57, a massage therapist from...

"
7 Amazing Google Science Fair Projects (Scientific American),,"Tonight, Google will announce the winners of its fourth annual Google Science
Fair, which Scientific American co-sponsors. Watch the awards ceremony here
live.


-- Read more on ScientificAmerican.com

"
Artist Uses 3D Printing To Preserve Artifacts Destroyed By ISIS,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/4ldBbeC2urw/artist-uses-3d-printing-to-preserve-artifacts-destroyed-by-isis,
Ask Slashdot: Best Test Case Manager Plugin For JIRA?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/nSVwGS4ZXSk/ask-slashdot-best-test-case-manager-plugin-for-jira,
Can Marijuana Cause Psychosis? (Scientific American),,"Cannabis might trigger psychosis in vulnerable individuals, but conflicting
evidence leaves many open questions


-- Read more on ScientificAmerican.com

"
Does Marijuana Harm the Brain? (Scientific American),,"

-- Read more on ScientificAmerican.com

"
Ebola Lockdown Workers Find Dozens of Cases (bioethicscom),,"(CNN) - One hundred thirty new cases of Ebola were identified during a three-
day lockdown in Sierra Leone, Stephen Gaojia, the country's head of emergency
operations, said Monday. Officials are awaiting tests on another 39 potential
cases, he said. During … Read More

"
Faith in Science Reduces Concerns about Climate Change (Scientific American),,"Surprising psychology poses obstacle on warming


-- Read more on ScientificAmerican.com

"
Future of Employment: How Susceptible Are Jobs To Computerization?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/C2Wz_6Ku6OA/future-of-employment-how-susceptible-are-jobs-to-computerization,
Google Calendar Ends SMS Notifications,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/Ux3uynApyzo/google-calendar-ends-sms-notifications,
Gravitational Wave Discovery Looks Doubtful in New Analysis (Scientific American),,"The latest data from the Planck satellite suggest the highly touted finding of
spacetime ripples may have been mistaken


-- Read more on ScientificAmerican.com

"
Ground Crew Back In Touch With LightSail Solar Spacecraft ,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/mrTrU7mTx1M/ground-crew-back-in-touch-with-lightsail-solar-spacecraft,
How Elon Musk's Growing Empire is Fueled By Government Subsidies,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/LZ_t0ZT9vc0/how-elon-musks-growing-empire-is-fueled-by-government-subsidies,
Ice in Arctic seas shrinks to 6th-lowest recorded (The Arizona Republic),,"NEW YORK (AP) -- Ice in Arctic seas shrank this summer to the sixth lowest
level in 36 years of monitoring....

"
LHC Season 2 Is About To Start Testing the Frontiers of Physics,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/gMbyUvaWmUY/lhc-season-2-is-about-to-start-testing-the-frontiers-of-physics,
MESSENGER Completes Second Burn to Maintain Mercury Orbit (Universe Today),,"A little over a week before NASA's MAVEN spacecraft fired its rockets to
successfully enter orbit around Mars, MESSENGER performed a little burn of its
own – the second of four orbit correction maneuvers (OCMs) that will allow it
to remain in orbit around Mercury until next March. Although it is closing in
on the end […]

"
MinGW and MSVCRT Conflict Causes Floating-Point Value Corruption,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/hGBrBWP6QT4/mingw-and-msvcrt-conflict-causes-floating-point-value-corruption,
"Mystery Woman Recycles $200,000 Apple I Computer",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/JD72ZoI4zlA/mystery-woman-recycles-200000-apple-i-computer,
New rules for anticancer vaccines (Eurekalert),,"Scientists have found a way to find the proverbial needle in the cancer
antigen haystack. The results have the potential to completely change current
approaches to generating anticancer vaccines.

"
Orange County Public Schools To Monitor Students On Social Media,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/bpqpOxmom6M/orange-county-public-schools-to-monitor-students-on-social-media,
Physicists have quantum teleported a particle of light across 25 kilometres (Science Alert),,"Scientists have successfully teleported the quantum state of a photon to a
crystal over 25 kilometres of optical fibre, showing that information can be
teleported from light into matter.

"
"Process, method, and system for removing heavy metals from oily solids (Fresh Patents)",,"Oil is recovered from a mercury containing oily solids by mixing the solids
with at least a treating agent selected from selected from flocculants,
sulfidic compounds, demulsifiers, and combinations thereof, and optionally a
solvent, forming a mixture. The mixture is then separated to recover a first
phase containing treated oil...

"
Pushing The Limits Of Chemical Bonding (pubs.acs),,"Conference highlights how computational and experimental chemists are applying
bonding models to more complex systems

"
"Rockefellers, Heirs to an Oil Fortune, Will Divest Charity of Fossil Fuels (NY Times)",,"The family whose legendary wealth flowed from Standard Oil is planning to rid
its $860 million Rockefeller Brothers Fund of investments in companies trading
in nonrenewable energy.







"
Rosetta Team Proposes Landing On Comet To Finish Mission,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/AGfxgtGafzU/rosetta-team-proposes-landing-on-comet-to-finish-mission,
Scientists Study Crime In Progress In a VR Simulated Environment,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/G6oKqPHKye0/scientists-study-crime-in-progress-in-a-vr-simulated-environment,
Securing U.S. Borders Threatens Iconic Species (Discover Magazine),,"Already endangered, Southwestern species struggle to survive in a landscape
remade by fences, roads and border patrols.

"
SpaceX breaks ground on Texas orbital launch facility (reuters),,"SAN ANTONIO (Reuters) - Privately owned SpaceX started construction in south
Texas on Monday for what the company said will be the first private commercial
orbital launch facility in the world.

"
Steve Albini: The Music Industry Is a Parasite -- and Copyright Is Dead,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/zDJtCTE602E/steve-albini-the-music-industry-is-a-parasite----and-copyright-is-dead,
Study: Narwhal Tusk Size Correlates With Testicle Size and Fertility (TIME),,"Is that a giant tooth on your head or are you just happy to see me?

"
The New Science of Human Origins (Scientific American),,"Awash in fresh insights, scientists have had to revise virtually every chapter
of the human story


-- Read more on ScientificAmerican.com

"
There Is a Finite Limit On How Long Intelligence Can Exist In Our Universe,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/dBcIc5nqKpQ/there-is-a-finite-limit-on-how-long-intelligence-can-exist-in-our-universe,
This Robot Can Plug In a USB But I Still Can't (Discover Magazine),,"Why is it that every time I try to insert a USB plug it's backward? Shouldn't
it be right at least half the time by dumb luck? Whatever my problem is, a
dextrous new robot doesn't have it. The robot's advantage is that its
fingertips don't just feel—they see, too. Researchers at Northeastern
University and (where else?) MIT created the plug-savvy bot. They started with
an existing factory-worker robot called Baxter and gave it a pair of pinching
fingers. Then on one finger, they added a shr

"
Windows 10 RTM In 6 Weeks,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/9cqsp6tbxkQ/windows-10-rtm-in-6-weeks,
